magx,magy,magz
-304.0,-96.0,46.0
-304.0,-96.0,46.0
-304.0,-96.0,46.0
-304.0,-96.0,46.0
-304.0,-96.0,46.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-306.0,-92.0,43.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-304.0,-90.0,48.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-91.0,45.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-307.0,-93.0,43.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-308.0,-94.0,46.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,43.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-307.0,-92.0,44.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-313.0,-93.0,45.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-267.0,54.0,-64.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-265.0,58.0,-115.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-270.0,16.0,-208.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-235.0,7.0,-142.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-262.0,-66.0,-290.0
-260.0,-100.0,-332.0
-260.0,-100.0,-332.0
