magx,magy,magz
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-390.0,-223.0,-603.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-385.0,-228.0,-608.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-388.0,-229.0,-605.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-229.0,-604.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-391.0,-230.0,-599.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-390.0,-240.0,-592.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-383.0,-221.0,-607.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-407.0,-230.0,-598.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-397.0,-203.0,-596.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-393.0,-199.0,-597.0
-401.0,-220.0,-591.0
-401.0,-220.0,-591.0
-401.0,-220.0,-591.0
-401.0,-220.0,-591.0
-401.0,-220.0,-591.0
